will77701;41,666666666666666666666666670;15,909090909090909090909090910;6,2500;40,0
purplefc93;20;17;7;75
fanfan21392;20;17;7;75
espoir08;20;17;7;75
yooooh;20;17;7;75
the_ressa;20;17;7;75
vince7901;19,674485399712781235040689330;15,851709811441355065516139340;1,1406844106463878326996197700;73,529411764705882352941176470
dterrab;20;17;7;75
maxtinog;20;17;7;75
mica01100;20;17;7;75
cerise0864;47,500;12,121212121212121212121212120;3,703703703703703703703703700;25,00
olgoneslyon;22,993197278911564625850340140;18,008185538881309686221009550;4,500;70,370370370370370370370370370
winners131p;20;17;7;75
gusbdb;20;17;7;75
choukaii;20;17;7;75
lolot56;27,488855869242199108469539380;5,9435364041604754829123328400;3,292181069958847736625514400;63,636363636363636363636363640
feamexx;20;17;7;75
lacrim0813;20;17;7;75
wolftandz;20;17;7;75
vatui32;20;17;7;75
freewell;64,383561643835616438356164380;13,013698630136986301369863010;3,0303030303030303030303030300;20,0
luck8022;20;17;7;75
juliano670;20;17;7;75
roublar72;20;17;7;75
tontonpastis;71,87500;0;0;40,0
djonta6999;20;17;7;75
xxhybridxx;17,905405405405405405405405410;16,412859560067681895093062610;7,6142131979695431472081218300;88,88888888888888888888888889
zenaone21;20;17;7;75
panzerotto;20;17;7;75
elo1711;20;17;7;75
lewouad;18,118006810758218083258044340;12,42344097995545657015590200;3,2169576059850374064837905200;71,005917159763313609467455620
laurentlya;20;17;7;75
monsaaf111;20;17;7;75
i_ am_ samia;20;17;7;75
krapsman7;20;17;7;75
gaufre99;68,571428571428571428571428570;41,826923076923076923076923080;31,944444444444444444444444440;37,500
heledoncks66;40,664482919981282171268132900;0,9389671361502347417840375600;1,0796221322537112010796221300;83,33333333333333333333333333
youe;20;17;7;75
patt8;57,676348547717842323651452280;3,3333333333333333333333333300;3,3333333333333333333333333300;50,0
sergiosxm;20;17;7;75
smelih;20;17;7;75
gameboye80;20;17;7;75
jordan belfort;13,959491660047656870532168390;8,530522966792602903161662360;3,517241379310344827586206900;76,422764227642276422764227640
picasam;20;17;7;75
keelan2007;20;17;7;75
sbouby77;50,769230769230769230769230770;16,923076923076923076923076920;6,862745098039215686274509800;40,0
abdel68;50,857142857142857142857142860;5,1428571428571428571428571400;0;50,0
charlyse89;65,873015873015873015873015870;3,1746031746031746031746031700;0;65,00
ptk45;20;17;7;75
hugo3164;20;17;7;75
jeancriss99;20;17;7;75
malikoko;20;17;7;75
abysswonder;42,510876320696084524549409570;0;0;80,76923076923076923076923077
az prt;20;17;7;75
funkygirl;20;17;7;75
jdarpmu62;20;17;7;75
hakhak947;20;17;7;75
arenbab1;67,411300919842312746386333770;18,828176431863067807768268600;11,553030303030303030303030300;40,816326530612244897959183670
peperv;20;17;7;75
stephanie47;20;17;7;75
artechpmu;24,568833241269256736021604370;11,817511067388096409247417610;3,2904148783977110157367668100;74,099099099099099099099099100
cafaisplaisir;20;17;7;75
bleusy;20;17;7;75
justefunk;20;17;7;75
drayjd;20;17;7;75
hovik1983;86,82634730538922155688622754;42,685370741482965931863727450;26,415094339622641509433962260;36,00
eden1288;20;17;7;75
lucadulao;46,271371407784648963259367040;8,494349252643091505650747360;9,654471544715447154471544720;74,603174603174603174603174600
aaperso;20;17;7;75
bluff72200;20;17;7;75
beesby;37,782139352306182531894013740;9,813542688910696761530912660;5,5401662049861495844875346300;67,647058823529411764705882350
tigrou69;20;17;7;75
goldorocknroll;24,596050269299820466786355480;17,266187050359712230215827340;2,7210884353741496598639455800;63,636363636363636363636363640
eradense;20;17;7;75
clerc281185;20;17;7;75
kaddu34;20;17;7;75
